@relation bus

@attribute weekday {Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday}
@attribute daytype {holiday, normal, non_working_day, weekend_holiday}
@attribute month {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12}
@attribute eastertime {TRUE, FALSE}
@attribute christmastime {TRUE, FALSE}
@attribute nonschoolperiod {TRUE, FALSE}
@attribute schedule {1, 2, 3, 4}

@data
Monday,normal,11,FALSE,FALSE,FALSE,2
Monday,normal,11,FALSE,FALSE,FALSE,2
Monday,normal,11,FALSE,FALSE,FALSE,2
Tuesday,normal,11,FALSE,FALSE,FALSE,2
Tuesday,normal,11,FALSE,FALSE,FALSE,2
Tuesday,normal,11,FALSE,FALSE,FALSE,2
Tuesday,normal,11,FALSE,FALSE,FALSE,2
Wednesday,normal,11,FALSE,FALSE,FALSE,2
Wednesday,normal,11,FALSE,FALSE,FALSE,2
Wednesday,normal,11,FALSE,FALSE,FALSE,2
Wednesday,normal,11,FALSE,FALSE,FALSE,2
Thursday,normal,11,FALSE,FALSE,FALSE,2
Thursday,normal,11,FALSE,FALSE,FALSE,2
Thursday,normal,11,FALSE,FALSE,FALSE,2
Thursday,normal,11,FALSE,FALSE,FALSE,2
Friday,normal,11,FALSE,FALSE,FALSE,2
Friday,normal,11,FALSE,FALSE,FALSE,2
Friday,normal,11,FALSE,FALSE,FALSE,2
Friday,normal,11,FALSE,FALSE,FALSE,2
Friday,normal,11,FALSE,FALSE,FALSE,2
Monday,normal,12,FALSE,FALSE,FALSE,2
Monday,normal,12,FALSE,FALSE,FALSE,2
Monday,normal,12,FALSE,FALSE,FALSE,2
Monday,normal,12,FALSE,FALSE,FALSE,2
Monday,normal,12,FALSE,FALSE,FALSE,2
Tuesday,normal,12,FALSE,FALSE,FALSE,2
Tuesday,normal,12,FALSE,FALSE,FALSE,2
Tuesday,normal,12,FALSE,FALSE,FALSE,2
Wednesday,normal,12,FALSE,FALSE,FALSE,2
Wednesday,normal,12,FALSE,FALSE,FALSE,2
Wednesday,normal,12,FALSE,FALSE,FALSE,2
Wednesday,normal,12,FALSE,FALSE,FALSE,2
Thursday,normal,12,FALSE,FALSE,FALSE,2
Thursday,normal,12,FALSE,FALSE,FALSE,2
Thursday,normal,12,FALSE,FALSE,FALSE,2
Thursday,normal,12,FALSE,FALSE,FALSE,2
Friday,normal,12,FALSE,FALSE,FALSE,2
Friday,normal,12,FALSE,FALSE,FALSE,2
Friday,normal,12,FALSE,FALSE,FALSE,2
Friday,normal,12,FALSE,FALSE,FALSE,2
